"xpoints","ypoints"
-118.3938237,29.441208
-115.52886153,29.89804189
-112.66389936,30.35487578
-109.79893719,30.81170967
-106.93397502,31.26854356
-104.06901285,31.72537745
-101.20405068,32.18221134
-98.33908851,32.63904523
-95.47412634,33.09587912
-92.60916417,33.55271301
-89.744202,34.0095469
