"orig_address","orig_lat","orig_lng","dest_address","dest_lat","dest_lng","time_text","distance_value","straight_dis","avg_speed"
"Iron Springs, AB T0K, Canada",49.9315232,-112.6889222,"Wapella, SK S0G, Canada",50.2615536,-101.9720161,"7 hours 59 mins",837.11,767.031713322226,104.944839114083
"Eaglesham, AB T0H, Canada",55.782235,-117.88065,"Thrums, BC V1N, Canada",49.3541991,-117.5777446,"13 hours 40 mins",1272.685,715.590760232663,93.1630574025499
"Longview, AB T0L, Canada",50.5313419,-114.2337204,"Latchford, ON, Canada",47.329887,-79.810964,"1 day 7 hours",3012.528,2524.03279115522,98.0294926376874
"Girouxville, AB T0H, Canada",55.7539583,-117.3386639,"Armstrong, ON P0T, Canada",50.2956232,-89.0517589,"1 day 4 hours",2559.593,1976.74252785073,92.491265332343
"Wandering River, AB T0A, Canada",55.2015668,-112.4660805,"Évain, QC J0Z, Canada",48.2391479,-79.1285185,"1 day 8 hours",3078.169,2403.53178917667,96.3223816767352
"Donalda, AB T0B, Canada",52.5846882,-112.5760285,"Chelsea, QC, Canada",45.5306639,-75.8678747,"1 day 12 hours",3376.459,2761.59243726161,94.8140217314997
"Irma, AB T0B, Canada",52.9133542,-111.2302567,"Hampton, ON L0B, Canada",43.970497,-78.744615,"1 day 7 hours",3361.127,2573.29909910627,106.774003741485
"Czar, AB T0B, Canada",52.4532162,-110.8254472,"McLeese Lake, BC V0K, Canada",52.4153977,-122.2895691,"12 hours 7 mins",1172.995,778.884224505729,96.7551553478141
"DeBolt, AB T0H, Canada",55.2142405,-118.0261065,"Petrolia, ON N0N, Canada",42.8818215,-82.1444389,"1 day 10 hours",3610.94,2915.40994328128,106.439780887422
"East Coulee, Drumheller, AB T0J, Canada",51.3363087,-112.4894221,"South River, ON P0A, Canada",45.8410546,-79.3795761,"1 day 7 hours",2954.683,2494.67065789744,95.5134808961523
"Lougheed, AB T0B, Canada",52.7456312,-111.5444846,"Cap-des-Rosiers, QC G0E, Canada",48.8650665,-64.2107165,"1 day 22 hours",4331.352,3303.14941299013,94.7969578142954
"Woking, AB T0H, Canada",55.5923302,-118.7761112,"Gaultois, NL, Canada",47.609932,-55.9051714,"3 days 1 hour",6394.688,4289.39996737087,87.2951913633382
"Cessford, AB T0J, Canada",51.0086148,-111.5610349,"Middle Lake, SK S0K, Canada",52.4814277,-105.3026752,"5 hours 32 mins",539.29,462.080017810408,97.5256944793289
"New Sarepta, AB T0C, Canada",53.2723122,-113.1472225,"Maynooth, ON K0L, Canada",45.2308636,-77.9386173,"1 day 10 hours",3261.594,2682.6003296181,95.0524848416161
"Redwater, AB T0A, Canada",53.9502921,-113.1086987,"McCreary, MB R0J, Canada",50.7747112,-99.493735,"10 hours 52 mins",1102.38,990.557829568988,101.52386799693
"Irricana, AB T0M, Canada",51.3189655,-113.6105289,"Richibucto, NB E4W, Canada",46.6817494,-64.8659617,"1 day 22 hours",4475.463,3536.75876931469,96.8214295157626
"Strathmore, AB, Canada",51.0378591,-113.4002871,"Saint-Gédéon, QC, Canada",48.539838,-71.7899519,"1 day 14 hours",3644.044,2969.01815618042,96.1700637783154
"Oyen, AB T0J, Canada",51.3518811,-110.4826119,"Trois-Pistoles, QC, Canada",48.1192778,-69.1652792,"1 day 15 hours",3796.798,2960.09715962719,96.7624686743406
"Sangudo, AB, Canada",53.8879226,-114.8997003,"Waubaushene, ON, Canada",44.7537016,-79.7121084,"1 day 10 hours",3256.825,2717.89887738656,97.1896448821247
"Seven Persons, AB T0K, Canada",49.8735127,-110.9063602,"Listowel, ON, Canada",43.7333296,-80.9515395,"1 day 5 hours",3023.38,2368.24742198346,105.914211202367
"Westlock, AB, Canada",54.1521734,-113.8514188,"Fleming, SK S0G, Canada",50.0755708,-101.5130316,"10 hours 27 mins",1094.881,957.41346911894,104.695378240544
"Sundre, AB, Canada",51.7972173,-114.6405002,"Cook's Harbour, NL, Canada",51.603697,-55.8708805,"2 days 21 hours",5942.296,3949.86907125225,86.4994504894647
"Bragg Creek, AB, Canada",50.9516847,-114.5691561,"Ste. Agathe, MB R0G, Canada",49.5690845,-97.1840432,"13 hours 12 mins",1381.927,1246.23792503956,104.647395877156
"Faust, AB T0G, Canada",55.31817,-115.637712,"Saint-Félix-de-Valois, QC J0K, Canada",46.1740366,-73.3997444,"1 day 17 hours",3864.772,3094.424038785,94.5233754322556
"Cadomin, AB T0E, Canada",53.0324813,-117.3268223,"Long Harbour-Mount Arlington Heights, NL, Canada",47.4317032,-53.815488,"3 days 0 hours",6312.766,4423.20513744921,87.7094521526022
"Grimshaw, AB T0H, Canada",56.1893767,-117.6105042,"Mary's Harbour, NL, Canada",52.3054507,-55.8373376,"2 days 21 hours",6073.328,3913.23001108299,88.552916732482
"Nisku, AB, Canada",53.3377723,-113.5240013,"Sainte-Anne-de-Bellevue, QC, Canada",45.4032673,-73.9504015,"1 day 14 hours",3611.299,2963.3673713397,96.1979829072478
"Rosalind, AB T0B, Canada",52.7874933,-112.4404529,"Colombier, QC, Canada",48.8542939,-68.9369297,"1 day 17 hours",3886.954,3048.73724223237,94.0152004192478
"Chateh, AB T0H, Canada",58.707471,-118.693053,"Watford, ON, Canada",42.9555663,-81.879921,"1 day 15 hours",4048.089,3069.78394328925,105.066331180067
"Canmore, AB, Canada",51.0749582,-115.3591374,"Port Dover, ON, Canada",42.7865022,-80.2033046,"1 day 8 hours",3433.549,2800.02776960961,105.943760767273
"Sylvan Lake, AB, Canada",52.3076936,-114.0980214,"Pontiac, QC, Canada",45.5635445,-76.108123,"1 day 12 hours",3484.505,2846.49803154912,96.3953647422253
"Vermilion, AB, Canada",53.3540163,-110.8586881,"Glaslyn, SK S0M, Canada",53.3604107,-108.3553203,"2 hours 5 mins",194.412,166.671723186155,93.5547654056944
"Ponoka, AB, Canada",52.6758713,-113.5832633,"Dubuisson, Val-d'Or, QC, Canada",48.1468909,-77.959725,"1 day 8 hours",3047.844,2554.27093265122,95.4066205817138
"Niton Junction, AB T0E, Canada",53.6171642,-115.7696143,"Atlin, BC V0W, Canada",59.577636,-133.6891954,"1 day 0 hours",1906.05,1279.3136572617,79.1914412334964
"Hussar, AB T0J, Canada",51.0410825,-112.6813763,"Armstrong, BC V0E, Canada",50.4476707,-119.1969832,"7 hours 6 mins",648.767,464.444404248438,91.3792088892367
"Etzikom, AB T0K, Canada",49.4787939,-111.1045186,"Hull, Gatineau, QC, Canada",45.4287295,-75.7133457,"1 day 9 hours",3125.816,2680.99887488742,95.1759458019335
"Morley, AB T0L, Canada",51.1618289,-114.8513984,"Williams Lake, BC, Canada",52.1418692,-122.1413196,"9 hours 19 mins",847.407,515.940740979703,90.9343388577561
"Andrew, AB T0B, Canada",53.879767,-112.3351752,"Portage-du-Fort, QC, Canada",45.593267,-76.6599724,"1 day 11 hours",3315.977,2697.81431810466,96.0024222733341
"Marwayne, AB T0B, Canada",53.5168861,-110.3314212,"Clinton, BC V0K, Canada",51.0927526,-121.5864344,"11 hours 24 mins",1121.055,812.663935839887,98.3597280105286
"Vulcan, AB T0L, Canada",50.4031726,-113.2612476,"Hickman's Harbour, NL A0C, Canada",48.1023547,-53.7308945,"2 days 20 hours",5902.656,4223.93520843181,87.3044815855643
"Keephills, AB T0E, Canada",53.4417861,-114.348653,"650 Rue du Domaine, SAINTE-AGATHE-SUD, QC J8C 3C9, Canada",46.0448699,-74.2551324,"1 day 13 hours",3532.446,2961.00463618917,95.0256349710443
"Hanna, AB T0J, Canada",51.643904,-111.9286419,"Sanmaur, Rivière-Windigo, QC G0X, Canada",47.8947525,-73.7941959,"1 day 16 hours",3546.686,2746.41556860989,88.3236690647482
"Okotoks, AB, Canada",50.7254937,-113.9749106,"Fair Haven, NL A0B, Canada",47.5342216,-53.8997127,"2 days 21 hours",6014.168,4276.87429074924,87.7856135584974
