"orig_address","orig_lat","orig_lng","dest_address","dest_lat","dest_lng","time_text","distance_value","straight_dis","avg_speed"
"Lougheed, AB T0B, Canada",52.7456312,-111.5444846,"Cap-des-Rosiers, QC G0E, Canada",48.8650665,-64.2107165,"1 day 22 hours",4331.351,3303.14941299013,94.5044946544159
"Woking, AB T0H, Canada",55.5923302,-118.7761112,"Gaultois, NL, Canada",47.609932,-55.9051714,"3 days 1 hour",6394.687,4289.39996737087,87.0143829092394
"Cessford, AB T0J, Canada",51.0086148,-111.5610349,"Middle Lake, SK S0K, Canada",52.4814277,-105.3026752,"5 hours 32 mins",539.62,462.080017810408,97.4336442973217
"New Sarepta, AB T0C, Canada",53.2723122,-113.1472225,"Maynooth, ON K0L, Canada",45.2308636,-77.9386173,"1 day 10 hours",3260.425,2682.6003296181,94.8433623956625
"Redwater, AB T0A, Canada",53.9502921,-113.1086987,"McCreary, MB R0J, Canada",50.7747112,-99.493735,"10 hours 52 mins",1102.299,990.557829568988,101.464495014063
"Irricana, AB T0M, Canada",51.3189655,-113.6105289,"Richibucto, NB E4W, Canada",46.6817494,-64.8659617,"1 day 22 hours",4475.463,3536.75876931469,96.3806660405463
"Strathmore, AB, Canada",51.0378591,-113.4002871,"Saint-Gédéon, QC, Canada",48.539838,-71.7899519,"1 day 14 hours",3644.044,2969.01815618042,95.8125490253361
"Oyen, AB T0J, Canada",51.3518811,-110.4826119,"Trois-Pistoles, QC, Canada",48.1192778,-69.1652792,"1 day 15 hours",3796.798,2960.09715962719,96.4238949165456
"Sangudo, AB, Canada",53.8879226,-114.8997003,"Waubaushene, ON, Canada",44.7537016,-79.7121084,"1 day 10 hours",3255.656,2717.89887738656,96.8865140117385
"Seven Persons, AB T0K, Canada",49.8735127,-110.9063602,"Listowel, ON, Canada",43.7333296,-80.9515395,"1 day 5 hours",3022.994,2368.24742198346,105.790537663676
"Westlock, AB, Canada",54.1521734,-113.8514188,"Fleming, SK S0G, Canada",50.0755708,-101.5130316,"10 hours 28 mins",1094.881,957.41346911894,104.61479417151
